FID,Id,x,y,area,perimeter
0,0,378081.761778999990000,4410430.631230000400000,32.446980316800001,23.981669160900001
1,0,378126.559317999990000,4410456.985600000200000,8.988033221929999,12.137712765100000
2,0,378129.583530000000000,4410454.638030000000000,17.455718533700001,17.793785854500001
3,0,378126.972904999970000,4410452.327130000100000,8.858193220350000,13.317740608999999
4,0,378127.888805000000000,4410448.400680000000000,4.939175987960000,10.260577000400000
5,0,378135.662947000000000,4410446.848369999800000,7.589200889820000,11.761085410400000
6,0,378135.744119999990000,4410450.116750000000000,11.697964109699999,13.472617376300001
7,0,378142.756980000010000,4410432.501799999700000,6.653099104830000,9.812302580620001
8,0,378142.187687999980000,4410439.727710000200000,15.764236748900000,18.918745900499999
9,0,378134.691165999980000,4410454.310680000100000,9.479899676700001,13.806111262500000
10,0,378136.674707000030000,4410469.907320000200000,6.271363915740000,9.634661155820000
11,0,378138.913515000020000,4410469.676099999800000,6.508029271590000,11.326955560900000
12,0,378136.444406999970000,4410463.144949999600000,7.176301345040000,11.320315439500000
13,0,378139.028172000020000,4410463.943120000000000,8.756819352999999,12.898327711800000
14,0,378136.821295999980000,4410459.832980000400000,11.341442236700001,13.131079128400000
15,0,378139.106439000000000,4410454.216509999700000,5.163430530640000,9.498081002470000
16,0,378141.801721000000000,4410455.244520000200000,7.651855023340000,11.255416271800000
17,0,378141.187106999980000,4410461.284199999600000,12.028748532700000,13.913020748699999
18,0,378147.712267000000000,4410436.989939999800000,12.209505835400000,13.035387756400000
19,0,378145.797694000010000,4410434.231859999700000,12.173173429700000,15.009019818200001
20,0,378156.046122000030000,4410447.130579999600000,13.338097786500001,15.947957617900000
21,0,378157.382546000010000,4410451.312140000100000,21.594888487900000,18.312167924000001
22,0,378160.276262000030000,4410446.579370000400000,20.426545139700000,19.875769560900000
23,0,378162.418427000000000,4410452.063380000200000,29.779339541700001,22.764996354099999
24,0,378160.177555000000000,4410456.443819999700000,8.667842241920001,11.122507724300000
25,0,378163.938253999980000,4410456.589590000000000,12.571870064200001,13.041960748399999
26,0,378155.853505000010000,4410455.803460000100000,13.482978245500000,14.189501737800001
27,0,378153.401529999970000,4410453.331969999700000,13.083584707300000,13.807342071900001
28,0,378145.861467999990000,4410455.530570000400000,12.303416439799999,13.554301684500000
29,0,378145.944687000010000,4410451.158259999900000,10.921265508399999,13.703017960800000
30,0,378143.275639000000000,4410451.719410000400000,12.307540276199999,14.277911943599999
31,0,378138.764412000020000,4410451.258349999800000,16.134434443000000,15.939284146200000
32,0,378141.623175000020000,4410447.574559999600000,20.292326858799999,16.990355468000001
33,0,378139.998237999970000,4410444.251960000000000,19.605833420000000,17.813577593400002
