手工面积	算法面积	相对误差
32.447	48.62	0.498445
8.98803	13.37	0.487533
17.4557	21.24	0.216793
8.85819	12.81	0.446119
4.93918	10.82	1.19065
7.5892	11.11	0.463922
11.698	12.98	0.109595
6.6531	7.95	0.194932
15.7642	21.01	0.332764
9.4799	12.78	0.348116
6.27136	13.05	1.08089
7.1763	10.18	0.418558
8.75682	13.43	0.533662
11.3414	14.31	0.261744
5.16343	9.53	0.845672
7.65186	10.86	0.419264
12.0287	11.5	0.0439571
12.2095	13.49	0.104877
12.1732	17.89	0.469625
13.3381	25.38	0.90282
21.5949	20.29	0.0604258
20.4265	27.35	0.338944
29.7793	36.88	0.238443
12.5719	17.52	0.393587
13.483	19.43	0.441076
13.0836	18.16	0.387999
12.3034	12.14	0.0132822
10.9213	14.41	0.319444
12.3075	14.58	0.18464
16.1344	18.55	0.149715
20.2923	19.21	0.0533368
19.6058	18.19	0.0722149
12.7185	12.36	0.0281903
4.09844	5.97	0.456653
22.6463	23.79	0.0505022
13.3037	20.01	0.504095
20.4297	16.74	0.180604
17.9711	21.08	0.172997
37.4194	29.27	0.217786
14.6798	12.09	0.176422
14.4883	14.9	0.0284146
13.9883	15.39	0.100207
15.7795	17.32	0.0976301
11.9161	13.06	0.0959987
13.6694	19.45	0.422891
15.6729	15.05	0.0397418
15.4934	24.53	0.583253
20.085	19.17	0.0455582
13.3942	13.37	0.00180464
16.6502	17.89	0.0744624
13.68	16.68	0.219297
21.4592	31.32	0.459513
14.5014	13.81	0.047675
19.8645	22.47	0.131163
14.7099	17.47	0.187633
22.401	15.2	0.32146
14.8506	18.49	0.245069
17.5517	21.83	0.243751
12.1512	14.93	0.228687
13.6557	15.72	0.151164
22.2097	19.22	0.134611
36.792	34.53	0.0614809
42.0956	21.03	0.500423
18.0684	14.95	0.17259
9.99144	13.32	0.333141
28.5429	19.8	0.306306
12.9894	13.62	0.0485495
30.4632	33.83	0.11052
17.763	18.19	0.0240403
20.923	1.92	0.908235
22.4085	20.81	0.0713337
23.2389	21.36	0.0808521
21.9011	21.44	0.0210515
18.5526	15.1	0.186099
8.00084	10.85	0.356107
7.53125	11.79	0.565477
9.82018	9.89	0.00710998
14.3383	12.22	0.147739
13.4051	13.86	0.0339365
18.9638	10.76	0.432604
12.7772	16.99	0.329708
12.8049	5.46	0.573601
11.3127	13.45	0.188924
11.6922	17.89	0.530084
12.7044	16.53	0.30112
36.4293	32.17	0.116919
15.9681	9.19	0.424476
10.8213	12.81	0.183775
18.3207	22.35	0.219929
30.6497	38.13	0.244058
27.8436	26.51	0.0478974
16.3993	40.53	1.47145
23.2723	15.69	0.325809
19.2359	19	0.012262
20.909	26.54	0.269311
33.5757	29.19	0.130621
6.0757	22.93	2.77405
14.1954	13.5	0.0489903
15.7495	30.1	0.911171
14.9586	16.64	0.112405
19.3227	40.49	1.09547
20.9902	20.4	0.0281172
18.4603	14.13	0.234572
20.0659	22.58	0.12529
15.1069	14.52	0.0388492
22.3848	23.06	0.0301652
43.3063	9.98	0.769548
29.1975	30.22	0.0350192
18.3286	16.94	0.0757619
12.8892	11.11	0.138036
10.4531	10.81	0.034144
18.3314	18.3	0.00171345
29.4385	31.22	0.0605176
27.2413	31.77	0.166243
11.3391	31.77	1.80181
16.5643	21.58	0.302803
29.332	33.89	0.155393
23.4908	17.86	0.239701
10.4462	13.73	0.314353
9.50383	14.01	0.474143
17.9422	21	0.170426
16.1303	14.15	0.122771
26.4003	25.27	0.042813
8.90739	11.96	0.342706
16.5437	19.27	0.164792
13.1567	13.26	0.00785394
13.3037	19.19	0.442458
8.86908	3.51	0.604243
26.6406	36.5	0.37009
11.6544	27.64	1.37164
28.8576	31.76	0.100576
38.6355	33.59	0.130592
26.3648	11.89	0.54902
25.2956	21.31	0.15756
17.2276	19.72	0.144672
7.75486	9.73	0.254698
24.9143	25.34	0.0170869
13.7888	14.63	0.0610073
25.7553	32.8	0.273522
16.4651	9.06	0.449745
13.4412	10.95	0.185338
24.6015	41.1	0.670627
12.717	17.67	0.389476
14.8936	16.04	0.0769701
13.3325	11.2	0.159948
18.7616	18.58	0.00967672
19.8225	22.18	0.11893
10.4181	9.56	0.0823652
12.9704	18.21	0.403967
9.1034	10.69	0.174286
14.4618	14.3	0.0111859
11.802	16.39	0.38875
16.918	20.23	0.195771
13.6005	10.88	0.200029
13.9659	19.52	0.397688
20.4876	24.45	0.193408
30.592	26.88	0.121339
14.0347	17.14	0.221259
10.2094	8.66	0.151759
12.7462	12.88	0.0105004
20.0178	17.61	0.120283
20.5262	21.45	0.0450048
14.8116	21.89	0.477898
39.453	46.24	0.172027
15.4626	18.69	0.208721
12.9217	12.18	0.057401
13.9659	24.07	0.723481
25.2897	31.34	0.239242
15.401	21.28	0.381727
15.9342	29.34	0.841317
13.5029	13.24	0.0194713
18.3259	21.97	0.198847
27.5033	6.98	0.746213
23.9527	21.82	0.0890388
15.4258	19.32	0.252449
9.6003	8.91	0.0719044
7.69082	6.07	0.210747
11.4547	20.46	0.786167
19.7929	2.72	0.862577
18.9982	26.04	0.370657
7.26648	8.94	0.230307
14.1521	15.47	0.0931214
12.3088	13.53	0.0992102
