"","x","y","area"
"1",378081.761779,4410430.63123,32.4469803168
"2",378126.559318,4410456.9856,8.98803322193
"3",378129.58353,4410454.63803,17.4557185337
"4",378126.972905,4410452.32713,8.85819322035
"5",378127.888805,4410448.40068,4.93917598796
"6",378135.662947,4410446.84837,7.58920088982
"7",378135.74412,4410450.11675,11.6979641097
"8",378142.75698,4410432.5018,6.65309910483
"9",378142.187688,4410439.72771,15.7642367489
"10",378134.691166,4410454.31068,9.4798996767
"11",378136.674707,4410469.90732,6.27136391574
"12",378138.913515,4410469.6761,6.50802927159
"13",378136.444407,4410463.14495,7.17630134504
"14",378139.028172,4410463.94312,8.756819353
"15",378136.821296,4410459.83298,11.3414422367
"16",378139.106439,4410454.21651,5.16343053064
"17",378141.801721,4410455.24452,7.65185502334
"18",378141.187107,4410461.2842,12.0287485327
"19",378147.712267,4410436.98994,12.2095058354
"20",378145.797694,4410434.23186,12.1731734297
"21",378156.046122,4410447.13058,13.3380977865
"22",378157.382546,4410451.31214,21.5948884879
"23",378160.276262,4410446.57937,20.4265451397
"24",378162.418427,4410452.06338,29.7793395417
"25",378160.177555,4410456.44382,8.66784224192
"26",378163.938254,4410456.58959,12.5718700642
"27",378155.853505,4410455.80346,13.4829782455
"28",378153.40153,4410453.33197,13.0835847073
"29",378145.861468,4410455.53057,12.3034164398
"30",378145.944687,4410451.15826,10.9212655084
"31",378143.275639,4410451.71941,12.3075402762
"32",378138.764412,4410451.25835,16.134434443
"33",378141.623175,4410447.57456,20.2923268588
"34",378139.998238,4410444.25196,19.60583342
"35",378141.976453,4410435.25788,12.7185397817
"36",378144.796816,4410438.5015,4.09843569387
"37",378145.967074,4410442.59911,22.6463112265
"38",378151.248434,4410443.68262,13.3036780503
"39",378150.767366,4410440.22225,20.4296744963
"40",378146.719776,4410447.06693,17.9710601343
"41",378150.413716,4410450.50544,37.4194059997
"42",378142.403981,4410458.01035,14.67983971
"43",378138.011345,4410456.71072,14.4883200585
"44",378148.800606,4410456.84839,13.9882741346
"45",378145.717741,4410460.1987,15.7794505083
"46",378143.708145,4410464.17727,11.9160725356
"47",378141.071357,4410466.58698,13.6693518189
"48",378151.706644,4410457.6932,15.6728674764
"49",378155.184065,4410459.17315,15.4934225528
"50",378159.017889,4410460.65459,20.0850383295
"51",378163.335296,4410460.05029,13.3941716411
"52",378162.896364,4410463.29366,16.6501875721
"53",378167.089174,4410461.46851,13.6800086104
"54",378170.504303,4410463.13746,21.4592162997
"55",378167.748611,4410457.39254,14.5013515447
"56",378168.809775,4410453.77814,19.8645110517
"57",378173.723083,4410455.23752,14.7099311825
"58",378177.119394,4410457.16813,22.4010451939
"59",378171.296704,4410458.55807,14.8505781929
"60",378175.432321,4410462.19447,17.5517463516
"61",378171.761874,4410450.75939,12.1511865972
"62",378175.495107,4410452.21074,13.6557376102
"63",378176.13031,4410448.00346,22.2096658381
"64",378168.961359,4410447.07616,36.7920068526
"65",378164.884718,4410443.45473,42.0955775711
"66",378160.258719,4410441.1323,18.0684358088
"67",378156.543722,4410439.09573,9.9914400139
"68",378155.349292,4410442.98421,28.5428550345
"69",378159.615578,4410437.10887,12.9893725478
"70",378166.275048,4410436.96669,30.4632105661
"71",378169.951095,4410434.56092,17.7629723554
"72",378173.179711,4410436.39009,20.9229809075
"73",378172.820596,4410431.30236,22.4084789646
"74",378166.409668,4410430.19557,23.2389160211
"75",378162.473442,4410434.50318,21.9010503643
"76",378157.349481,4410434.11536,18.5526244771
"77",378154.918855,4410436.65149,4.85845159008
"78",378152.439662,4410437.28643,8.00084499755
"79",378153.840827,4410434.42702,7.5312523018
"80",378150.35336,4410434.72405,9.82017873061
"81",378151.993871,4410431.23199,14.3383271466
"82",378155.083906,4410430.49928,13.4050783747
"83",378153.968222,4410425.78214,18.9638398522
"84",378149.188231,4410429.84645,12.7772432944
"85",378145.649002,4410430.01226,12.8049047265
"86",378143.973139,4410426.9838,11.3127466441
"87",378146.69801,4410425.24605,11.6921716806
"88",378149.767111,4410425.47111,12.7044384976
"89",378151.199044,4410421.18798,25.2646674645
"90",378145.729963,4410421.01157,22.3697643606
"91",378160.521499,4410429.43192,36.4292740603
"92",378164.21754,4410421.63515,21.2464022661
"93",378166.499207,4410425.28092,15.968053879
"94",378176.94145,4410435.06467,10.8213142069
"95",378171.463926,4410440.64971,18.3207387187
"96",378176.238171,4410440.88184,30.6497028673
"97",378181.817473,4410438.22621,27.8436376849
