x	y
97	523
545	260
575	283
549	306
558	345
636	361
637	328
707	504
701	432
626	286
646	130
668	133
644	198
670	190
648	231
670	287
697	277
691	217
756	460
737	487
840	358
853	316
882	364
904	309
881	265
919	264
838	271
813	296
738	274
739	318
712	312
667	317
696	354
679	387
699	477
727	444
739	403
792	393
787	427
747	359
783	324
703	249
659	262
767	261
737	227
716	188
690	164
796	253
831	238
870	223
913	229
908	197
950	215
984	198
957	256
967	292
1017	277
1051	258
992	244
1034	208
997	322
1034	307
1041	349
969	359
928	395
882	418
845	439
833	400
876	458
942	460
979	484
1011	466
1008	516
943	528
904	484
853	488
829	463
804	457
818	485
783	482
799	517
830	524
819	572
771	531
736	529
719	560
746	577
777	575
791	618
737	619
885	535
922	613
944	577
1049	479
994	423
1042	421
1098	447
1099	488
1073	517
1137	528
1144	578
1194	560
1248	561
1288	534
1279	577
1327	539
1297	609
1239	610
1196	611
1150	615
1111	613
1075	576
1154	505
1150	480
1154	450
1148	414
1173	386
1110	403
1099	370
1089	332
1153	311
1143	351
1190	338
1216	366
1199	410
1246	398
1294	400
1338	367
1299	323
1251	343
1220	308
1257	302
1188	275
1088	284
1129	264
1137	222
1090	218
1104	184
1149	177
1179	221
1065	192
1005	171
1029	154
1072	157
1121	147
1199	126
1216	197
1201	167
1317	257
1279	263
1248	264
1225	244
1298	286
1340	237
1353	201
1261	215
1296	207
1258	157
1299	110
1330	158
1101	80
1065	115
1023	110
1058	84
1060	46
1117	22
1234	97
1195	84
1195	51
1150	122
1151	90
1101	119
989	136
948	162
901	155
923	122
961	120
959	86
924	81
894	106
860	98
885	60
852	55
992	72
853	157
830	203
783	211
750	194
751	166
801	173
806	126
763	130
807	70
724	55
704	137
730	114
690	93
654	89
684	48
760	39
603	89
566	97
606	257
502	275
513	321
597	325
587	373
619	380
649	400
670	434
683	526
653	550
490	568
454	554
468	590
468	590
