y	x
8	473
8	547
8	571
9	896
9	972
9	973
9	974
10	21
11	347
11	453
12	623
12	773
12	882
14	223
14	310
14	333
15	651
17	101
18	386
18	532
18	637
19	816
19	958
21	265
21	406
22	693
22	844
24	150
24	283
24	296
25	574
25	712
25	724
27	20
28	456
28	534
29	884
29	961
31	334
31	559
32	757
32	838
34	207
34	289
34	367
35	633
35	717
37	88
37	168
38	516
38	595
39	942
40	45
41	392
41	547
42	820
42	972
42	973
42	974
42	975
44	271
44	349
44	423
44	469
45	698
45	777
45	855
45	897
47	147
47	223
47	306
48	579
48	652
49	922
50	29
50	102
51	533
52	799
52	883
52	961
54	248
54	333
54	409
55	680
55	762
55	839
57	146
57	285
58	578
58	715
60	26
60	167
60	316
61	456
61	595
61	741
62	880
62	892
63	40
63	195
64	332
64	469
65	757
65	769
66	69
67	208
67	345
67	486
68	636
68	915
70	84
71	519
72	947
74	396
75	614
75	823
76	105
77	273
77	534
78	703
78	837
79	8
80	148
80	435
81	576
81	714
81	903
83	29
83	159
83	354
84	457
84	589
84	782
85	889
86	233
87	258
87	340
87	662
89	108
90	540
91	642
91	968
92	1
92	2
93	416
94	719
94	760
94	846
96	169
96	181
96	210
96	296
97	327
97	395
98	824
99	101
99	122
100	272
100	528
100	561
101	701
101	742
101	957
101	977
103	152
104	577
104	617
104	851
106	63
106	301
107	491
107	588
108	919
109	37
110	329
110	376
110	466
111	898
113	342
114	683
114	769
114	801
116	133
116	231
116	250
117	516
117	559
117	658
118	943
119	9
119	108
120	392
120	535
120	570
121	822
121	869
121	964
122	19
123	319
123	405
123	417
123	447
124	747
124	832
124	845
126	283
126	295
126	458
127	721
127	885
129	127
129	173
129	202
130	554
130	601
130	627
131	975
132	5
132	49
132	81
133	428
133	475
133	507
134	860
134	907
134	934
136	309
136	355
136	384
137	736
137	784
137	808
139	188
139	258
140	615
140	669
140	687
142	66
142	117
142	135
143	549
143	569
143	633
144	923
144	966
144	977
145	3
145	19
145	83
146	415
146	427
146	446
146	509
147	844
147	874
147	938
149	324
149	388
150	755
152	205
153	582
153	630
153	642
155	31
155	79
155	93
156	300
156	460
156	521
157	731
157	812
159	181
159	263
160	608
160	686
162	60
162	138
163	487
164	914
166	363
166	444
166	745
167	791
167	872
168	196
169	241
169	624
170	669
171	75
172	119
172	501
173	547
174	975
175	173
175	380
176	427
176	608
176	808
177	854
177	935
178	53
179	303
179	488
180	730
180	914
182	362
183	790
185	241
186	577
186	670
186	712
186	870
188	27
188	121
188	161
189	455
189	550
189	589
189	748
190	973
191	1
191	41
191	59
191	198
192	424
192	470
192	488
192	627
193	850
193	898
193	916
195	301
195	346
196	727
196	739
