y	x
52	1061
52	1321
53	546
53	1197
53	1254
54	725
54	850
57	1140
59	281
59	898
62	333
64	885
65	991
65	1261
65	1302
66	822
66	1273
68	1315
69	256
69	367
69	771
72	1331
75	516
76	438
78	1265
82	929
84	1103
85	1189
85	1201
85	1333
86	1059
88	211
88	274
88	601
89	308
89	347
90	954
92	1229
94	704
96	571
96	1154
97	866
101	1342
104	169
108	115
109	367
109	895
112	101
112	1278
113	1065
113	1312
116	228
116	722
116	1021
119	322
119	938
121	52
123	960
124	1105
125	496
125	925
126	1202
127	171
129	258
132	474
134	344
134	1290
138	812
139	112
139	443
141	650
141	713
142	431
142	765
143	987
145	297
146	1122
147	279
149	145
153	1286
154	579
157	1031
158	204
158	901
159	401
159	1072
162	1196
163	231
164	856
164	952
165	692
167	1333
169	1247
172	759
175	802
176	1151
178	559
179	313
182	525
182	626
183	421
189	452
189	722
192	674
192	1070
194	1230
196	175
197	381
198	127
198	746
199	514
199	907
199	987
201	280
204	650
205	1305
206	537
207	1040
209	200
212	788
212	1095
213	337
213	870
214	229
214	582
222	70
222	381
222	692
223	955
223	1194
225	421
226	743
226	920
228	621
229	514
231	480
232	832
234	1046
235	653
235	1134
238	276
239	184
239	355
241	67
242	990
244	1221
244	1351
245	713
248	794
250	157
252	310
254	552
254	610
254	771
254	960
255	662
256	390
257	1319
259	52
259	921
261	171
261	1130
262	1250
263	1056
265	1276
267	737
269	1025
271	464
272	94
273	503
273	701
274	1196
275	73
276	836
278	579
278	1236
287	677
288	626
288	1091
290	966
291	393
292	1258
295	185
295	437
297	91
299	127
299	817
304	356
305	331
306	494
307	553
307	991
307	1219
308	1011
309	88
309	722
309	861
309	892
309	1038
309	1151
311	61
312	1296
318	169
318	671
319	292
319	459
319	741
322	1350
326	601
326	780
328	493
331	118
332	513
332	638
336	384
337	928
337	1023
337	1195
338	179
338	316
342	435
344	82
344	347
346	240
346	562
346	695
349	1152
349	1255
355	641
358	851
358	965
358	1036
359	888
364	166
364	303
364	1224
365	335
366	743
368	1344
369	1096
370	1272
371	1323
372	537
373	591
375	396
377	502
379	281
379	463
381	1103
383	200
384	552
384	620
385	219
385	677
385	1121
388	431
389	927
393	364
396	103
401	794
402	402
402	836
404	617
407	302
407	1154
409	76
409	1113
413	166
413	1239
414	635
414	752
417	507
419	265
419	555
419	1275
422	528
423	372
424	157
426	591
426	785
426	1181
427	881
428	442
431	668
432	1043
433	1000
434	1222
434	1287
435	340
435	852
436	82
438	112
440	701
442	725
442	1331
444	1100
447	402
449	274
449	1151
449	1209
452	481
452	1188
455	644
457	799
458	302
460	604
460	940
461	570
462	73
462	462
462	881
462	1013
465	762
467	1243
468	1172
470	1309
472	1218
474	372
475	505
476	698
478	419
478	635
481	910
482	289
482	737
482	1055
483	318
483	595
485	783
486	989
487	859
488	459
493	704
493	820
493	1226
494	224
494	242
496	1202
497	568
498	1178
499	1153
499	1271
500	511
506	412
507	1202
508	350
508	653
509	285
510	118
512	683
513	1006
514	804
517	487
518	671
519	704
519	828
521	1221
522	252
522	458
525	609
525	771
526	553
527	644
527	945
528	1081
529	873
531	522
532	902
533	97
534	1185
535	1332
537	208
537	312
537	737
538	188
539	580
539	923
541	1292
542	501
546	528
546	638
549	580
552	1199
553	1015
555	142
556	460
556	559
558	1247
560	396
562	424
563	725
565	883
566	803
567	501
567	826
572	779
572	1323
574	984
575	373
577	692
582	743
584	956
585	558
586	200
586	206
586	320
586	475
587	181
587	271
587	944
587	1335
590	250
592	55
595	412
595	695
